Line_name,Line_ID,Age,Project_TFP,lines_counts,Year,TFP,Cur_flow,Days_repairs
КС Ямбургская – КС Правохеттинская,1,1989.58,227,12,2012,173,,
КС Ямбургская – КС Правохеттинская,1,1989.58,227,12,2013,178,155.1,
КС Ямбургская – КС Правохеттинская,1,1989.58,227,12,2014,171.7,141.9,253
КС Ямбургская – КС Правохеттинская,1,1989.58,227,12,2015,170.7,142.2,10
КС Ямбургская – КС Правохеттинская,1,1989.58,227,12,2016,169.9,135.2,
КС Ямбургская – КС Правохеттинская,1,1989.58,227,12,2017,166.3,145.5,317
КС Ямбургская – КС Правохеттинская,1,1989.58,227,12,2018,168.3,145.4,576
КС Пуровская – КС Правохеттинская,2,1986.66,96.8,3,2012,90.8,,
КС Пуровская – КС Правохеттинская,2,1986.66,96.8,3,2013,88.9,79,
КС Пуровская – КС Правохеттинская,2,1986.66,96.8,3,2014,91.6,71.5,43
КС Пуровская – КС Правохеттинская,2,1986.66,96.8,3,2015,85.3,80.4,149
КС Пуровская – КС Правохеттинская,2,1986.66,96.8,3,2016,87.2,69.7,
КС Пуровская – КС Правохеттинская,2,1986.66,96.8,3,2017,84.5,74,220
КС Пуровская – КС Правохеттинская,2,1986.66,96.8,3,2018,86.4,81.8,147
КС Правохеттинская – КС Сосновская,3,1988.1,321,10,2012,354,,
КС Правохеттинская – КС Сосновская,3,1988.1,321,10,2013,353.7,290.4,
КС Правохеттинская – КС Сосновская,3,1988.1,321,10,2014,354.6,256.8,386
КС Правохеттинская – КС Сосновская,3,1988.1,321,10,2015,354.5,246.7,299
КС Правохеттинская – КС Сосновская,3,1988.1,321,10,2016,339.2,245.4,
КС Правохеттинская – КС Сосновская,3,1988.1,321,10,2017,340.1,275.3,2035
КС Правохеттинская – КС Сосновская,3,1988.1,321,10,2018,351.2,290.5,1673
КС Сосновская – КС Таежная,4,1988,317,10,2012,324.2,,
КС Сосновская – КС Таежная,4,1988,317,10,2013,329.9,290.4,
КС Сосновская – КС Таежная,4,1988,317,10,2014,330.8,255.4,1550
КС Сосновская – КС Таежная,4,1988,317,10,2015,335.4,247.1,770
КС Сосновская – КС Таежная,4,1988,317,10,2016,329.6,245.4,
КС Сосновская – КС Таежная,4,1988,317,10,2017,329,274.2,2447
КС Сосновская – КС Таежная,4,1988,317,10,2018,319.6,289,3383
